role_id,job_role,domain_category,popularity_rank,skills
ROLE_01,DevOps Engineer,Cloud & Infrastructure,1,"Python, Cloud, Cloud Computing, Automation, Docker, Kubernetes, AWS, CI/CD, Linux, Terraform, Git"
ROLE_02,Cloud Engineer,Cloud & Infrastructure,3,"Cloud, Cloud Computing, AWS, Azure, Python, Automation, Terraform, Networking, Linux, Security, Docker"
ROLE_03,Systems Administrator,Cloud & Infrastructure,8,"Linux, Automation, Cloud, Cloud Computing, Bash, Networking, Python, Virtualization, Monitoring, Security, Git"
ROLE_04,Data Scientist,AI & Data Science,2,"Python, SQL, Machine Learning, Data Analysis, Statistics, Pandas, Scikit-Learn, Data Visualization, Deep Learning, Jupyter, Git"
ROLE_05,Machine Learning Engineer,AI & Data Science,4,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Docker, MLOps, Algorithms, Data Structures, Cloud, Git"
ROLE_06,Backend Developer,Software Engineering,5,"Java, Python, SQL, APIs, Node.js, Microservices, Databases, Data Structures, Algorithms, Docker, Git"
ROLE_07,Frontend Developer,Web & Mobile Development,6,"JavaScript, TypeScript, React, HTML, CSS, Web Design, UI/UX, Frontend Development, State Management, Testing, Git"
ROLE_08,Full Stack Developer,Web & Mobile Development,7,"JavaScript, Python, React, Node.js, SQL, APIs, HTML, CSS, Databases, Docker, Git"
ROLE_09,Data Engineer,AI & Data Science,9,"Python, SQL, Apache Spark, Kafka, ETL Pipelines, Data Warehousing, Cloud, AWS, Airflow, Big Data, Git"
ROLE_10,Cybersecurity Analyst,Security & Governance,10,"Security, Network Security, Penetration Testing, Linux, Cryptography, SIEM, Incident Response, Firewalls, Risk Assessment, Python, Networking"
ROLE_11,Site Reliability Engineer,Cloud & Infrastructure,11,"Kubernetes, Docker, Monitoring, Linux, Automation, Incident Response, Cloud, CI/CD, Go, Distributed Systems, Git"
ROLE_12,Database Administrator,AI & Data Science,14,"SQL, Databases, PostgreSQL, MySQL, NoSQL, Data Modeling, Backup & Recovery, Performance Tuning, Linux, Security, Automation"
ROLE_13,Mobile App Developer,Web & Mobile Development,12,"Flutter, Dart, React Native, Swift, Kotlin, Mobile UI, APIs, State Management, Firebase, Testing, Git"
ROLE_14,AI Research Scientist,AI & Data Science,13,"Deep Learning, Neural Networks, Tensors, Optimization, PyTorch, TensorFlow, Linear Algebra, Algorithms, Natural Language Processing, Computer Vision, Python"
ROLE_15,QA Automation Engineer,Software Engineering,15,"Testing, Selenium, Cypress, Python, Java, Automation, CI/CD, Bug Tracking, API Testing, Performance Testing, Git"
ROLE_16,Data Analyst,AI & Data Science,16,"SQL, Data Analysis, Excel, Tableau, Power BI, Statistics, Data Visualization, Python, Business Intelligence, Reporting, Data Cleaning"
ROLE_17,Blockchain Developer,Software Engineering,19,"Solidity, Smart Contracts, Ethereum, Cryptography, Web3, Distributed Systems, JavaScript, Node.js, Security, Algorithms, Git"
ROLE_18,Game Developer,Software Engineering,18,"C++, C#, Unity, Unreal Engine, 3D Math, Physics Engines, Shaders, Computer Graphics, Algorithms, Data Structures, Git"
ROLE_19,Embedded Systems Engineer,Hardware & Systems,17,"C, C++, Microcontrollers, RTOS, Embedded Linux, IoT, Hardware Debugging, Firmware, Sensors, Networking, Git"
ROLE_20,UI/UX Product Designer,Design & Product,20,"UI/UX, Figma, Wireframing, Prototyping, User Research, Design Systems, Web Design, Accessibility, Interaction Design, HTML, CSS"
